"StatusCode","Success","ElapsedMs","Error"
"200","True","11.0653",
"200","True","10.9816",
"200","True","10.9078",
"200","True","10.8422",
"200","True","10.7706",
"200","True","10.6965",
"200","True","10.6292",
"200","True","10.5685",
"200","True","10.5168",
"200","True","10.4585",
"200","True","10.3806",
"200","True","10.3196",
"200","True","10.2578",
"200","True","10.2074",
"200","True","10.1511",
"200","True","10.102",
"200","True","10.0601",
"200","True","10.0103",
"200","True","9.9658",
"200","True","9.9222",
"200","True","5.1733",
"200","True","4.8658",
"200","True","4.7029",
"200","True","4.5655",
"200","True","4.4249",
"200","True","4.2442",
"200","True","4.0948",
"200","True","3.8772",
"200","True","3.7035",
"200","True","3.5892",
"200","True","3.4591",
"200","True","3.354",
"200","True","3.2387",
"200","True","3.1336",
"200","True","3.0261",
"200","True","2.9153",
"200","True","2.8118",
"200","True","2.6961",
"200","True","2.5598",
"200","True","2.421",
"200","True","6.7966",
"200","True","6.6009",
"200","True","6.5126",
"200","True","6.3881",
"200","True","6.2474",
"200","True","6.0798",
"200","True","5.7378",
"200","True","5.4209",
"200","True","5.1842",
"200","True","5.0115",
"200","True","4.853",
"200","True","4.6927",
"200","True","4.4539",
"200","True","4.2726",
"200","True","4.1554",
"200","True","4.0356",
"200","True","3.9333",
"200","True","3.8295",
"200","True","3.7104",
"200","True","3.5621",
"200","True","5.3824",
"200","True","5.3677",
"200","True","5.2522",
"200","True","5.1007",
"200","True","4.9666",
"200","True","4.8495",
"200","True","4.6383",
"200","True","4.5151",
"200","True","4.393",
"200","True","4.2732",
"200","True","4.1547",
"200","True","4.0359",
"200","True","3.9221",
"200","True","3.8162",
"200","True","3.6878",
"200","True","3.5651",
"200","True","3.4748",
"200","True","3.3679",
"200","True","3.2521",
"200","True","3.1277",
"200","True","29.759",
"200","True","29.6366",
"200","True","29.5691",
"200","True","29.5019",
"200","True","29.4161",
"200","True","29.273",
"200","True","29.1064",
"200","True","28.9976",
"200","True","28.8559",
"200","True","28.7473",
"200","True","28.6471",
"200","True","28.5422",
"200","True","28.4288",
"200","True","28.3037",
"200","True","28.0829",
"200","True","27.9231",
"200","True","27.7301",
"200","True","27.5817",
"200","True","27.4572",
"200","True","27.3468",
"200","True","3.568",
"200","True","3.4714",
"200","True","3.4011",
"200","True","3.3225",
"200","True","3.2401",
"200","True","3.1567",
"200","True","3.0801",
"200","True","2.9745",
"200","True","2.8558",
"200","True","2.7498",
"200","True","2.6388",
"200","True","2.5241",
"200","True","2.4278",
"200","True","2.301",
"200","True","2.1796",
"200","True","1.9662",
"200","True","1.8222",
"200","True","1.7105",
"200","True","1.6005",
"200","True","1.4959",
"200","True","3.6073",
"200","True","3.5572",
"200","True","3.4943",
"200","True","3.438",
"200","True","3.3805",
"200","True","3.3192",
"200","True","3.2207",
"200","True","3.1507",
"200","True","3.0852",
"200","True","3.008",
"200","True","2.9275",
"200","True","2.8153",
"200","True","2.6881",
"200","True","2.5466",
"200","True","2.3899",
"200","True","2.2795",
"200","True","2.1696",
"200","True","2.0564",
"200","True","1.9607",
"200","True","1.8569",
"200","True","5.1458",
"200","True","5.2037",
"200","True","5.1675",
"200","True","5.0882",
"200","True","5.0216",
"200","True","4.9557",
"200","True","4.896",
"200","True","4.8138",
"200","True","4.7527",
"200","True","4.6454",
"200","True","4.5797",
"200","True","4.4941",
"200","True","4.3149",
"200","True","4.063",
"200","True","3.9046",
"200","True","3.7504",
"200","True","3.6154",
"200","True","3.3184",
"200","True","3.1296",
"200","True","2.95",
"200","True","4.5174",
"200","True","4.3421",
"200","True","4.1991",
"200","True","4.0928",
"200","True","4.0148",
"200","True","3.9228",
"200","True","3.7786",
"200","True","3.6868",
"200","True","3.5689",
"200","True","3.3797",
"200","True","3.2458",
"200","True","3.1375",
"200","True","3.0235",
"200","True","2.9044",
"200","True","2.7711",
"200","True","2.647",
"200","True","2.5454",
"200","True","2.4159",
"200","True","2.2584",
"200","True","2.1246",
"200","True","4.3641",
"200","True","4.4059",
"200","True","4.3298",
"200","True","4.2508",
"200","True","4.1438",
"200","True","4.0596",
"200","True","3.9563",
"200","True","3.8736",
"200","True","3.7839",
"200","True","3.6979",
"200","True","3.5841",
"200","True","3.505",
"200","True","3.3936",
"200","True","3.271",
"200","True","3.1399",
"200","True","3.0163",
"200","True","2.9009",
"200","True","2.7848",
"200","True","2.6715",
"200","True","2.5613",
